Square_Footage, Bedrooms, Bathrooms, Neighborhood, Year_Built, Garage_Size, Price
1062,4,1,Urban,1976,368,552129.48
2199,4,4,Suburban,1997,487,578553.54
1684,5,3,Urban,1972,341,196728.61
2562,5,2,Rural,2008,317,219110.95
1206,4,1,Urban,1972,536,242719.79
1529,2,4,Urban,1961,73,196310.86
2442,6,1,Suburban,1987,389,547988.61
2118,2,1,Suburban,1978,413,589976.07
1924,2,4,Suburban,1994,272,454792.34
2805,5,3,Rural,1960,111,376036.0
1676,6,4,Urban,1996,639,532137.28
2944,6,1,Rural,1960,565,338434.62
2308,6,1,Urban,1979,768,592132.33
1271,5,2,Urban,1954,498,489889.72
1792,5,4,Urban,1965,384,231379.22
1704,5,3,Rural,1956,403,116430.82
2473,4,3,Rural,2013,769,473364.04
1791,6,2,Urban,2000,608,458630.49
2815,6,3,Suburban,1975,67,277793.81
2097,6,2,Suburban,1990,714,141827.14
2705,4,2,Suburban,2013,347,370832.91
2136,6,2,Suburban,1969,190,405309.09
2281,2,3,Suburban,1970,627,494933.36
2927,6,2,Suburban,1963,406,316061.16
1350,2,3,Urban,1965,126,262020.94
2913,6,3,Rural,2015,613,220368.9
2339,4,1,Urban,1958,687,200614.92
936,5,3,Urban,2012,283,338598.39
943,3,4,Suburban,2006,786,342630.7
1925,6,4,Urban,1955,554,330986.99
2796,6,1,Urban,2003,297,478361.53
2318,6,1,Rural,2015,496,286953.14
2370,2,2,Urban,1988,688,201683.57
2922,6,2,Suburban,1983,473,553476.23
2660,3,4,Rural,2012,66,255964.19
1021,6,1,Rural,2008,678,242863.29
1478,4,4,Rural,2011,121,305287.55
1863,2,4,Urban,1970,40,249813.94
2268,3,1,Urban,1994,525,519984.16
1817,5,3,Rural,2000,660,382475.36
2593,3,1,Rural,1958,148,395932.39
852,5,2,Rural,1992,247,597879.99
2932,5,2,Suburban,2009,419,384661.34
1857,3,2,Rural,1998,701,344230.9
2521,2,3,Rural,1975,296,225777.72
956,2,4,Urban,1964,154,207704.43
915,5,1,Urban,2001,636,390102.13
1187,5,3,Suburban,1976,654,450387.72
2387,4,3,Rural,1992,609,272010.12
1628,5,1,Suburban,2000,277,241144.02
2070,2,4,Urban,2016,325,338038.74
996,5,2,Suburban,1966,74,215759.62
1542,2,2,Rural,2011,44,193731.49
1967,6,3,Urban,2006,11,256089.02
2036,6,1,Rural,2020,688,337416.03
1449,2,3,Urban,1995,440,352649.24
2936,5,1,Urban,1989,324,426175.78
2918,6,2,Urban,1993,400,472346.31
1698,6,1,Rural,1963,91,456072.58
1199,5,2,Urban,1995,217,259314.76
2946,3,4,Urban,1990,736,329473.2
1216,3,1,Suburban,2020,757,336571.96
932,2,2,Urban,1974,753,278279.01
2137,6,2,Suburban,1989,655,436389.35
1783,5,1,Urban,1977,137,420613.9
2026,5,2,Rural,2016,599,351932.94
981,4,1,Urban,1980,307,238340.77
1797,4,4,Urban,2003,347,519892.19
1025,4,1,Urban,1960,352,199005.71
2988,6,4,Rural,1961,84,514307.9
2983,6,1,Rural,1960,210,450505.12
1003,5,1,Rural,2006,716,333591.43
929,2,4,Rural,2018,470,468098.21
1386,6,1,Urban,2003,245,269126.53
2671,2,1,Rural,1990,605,589559.59
1742,4,1,Suburban,1967,32,426690.39
2110,2,3,Rural,1990,33,561732.66
1946,2,3,Urban,1961,516,221484.86
2915,6,4,Urban,1989,618,451922.32
2781,5,3,Urban,2007,84,381555.96
2954,6,4,Urban,1992,315,233917.65
1660,2,2,Urban,1980,663,546902.16
2841,6,2,Urban,2014,713,522414.51
2958,2,4,Urban,1969,605,572442.28
2956,2,3,Suburban,1991,392,184815.12
1692,4,4,Rural,1988,357,490796.3
1370,5,3,Rural,1983,341,351007.49
1991,5,1,Rural,1971,282,283581.67
1095,5,4,Rural,1987,794,444434.41
2804,5,3,Urban,2000,493,333141.35
1044,6,1,Suburban,2013,216,376951.48
2258,3,4,Rural,1985,404,402577.8
1445,5,2,Rural,1987,77,422924.23
1860,3,4,Suburban,2008,439,370849.6
1310,2,3,Rural,1983,532,351362.34
1673,4,3,Rural,1995,758,287321.82
2032,6,4,Urban,1993,58,575117.7
813,2,1,Suburban,1957,495,488611.25
1871,2,2,Urban,1970,35,454211.81
1188,3,2,Urban,1951,782,587052.42
2691,4,4,Urban,1952,693,218972.5
2314,2,2,Suburban,1977,664,262786.58
1752,2,2,Rural,1979,283,147341.52
1026,5,1,Rural,1987,784,177062.54
1066,4,2,Rural,1963,542,133061.59
2982,2,1,Suburban,1992,182,386672.77
2326,3,4,Suburban,1995,534,410834.81
1840,4,1,Rural,1962,264,519789.68
2470,4,3,Rural,1951,210,491603.84
2394,5,2,Suburban,1961,96,217979.54
2499,4,2,Urban,1979,52,500701.31
852,4,4,Urban,1983,535,519448.04
2094,3,3,Urban,1980,377,556347.94
2375,2,3,Suburban,1984,444,111007.49
2770,2,1,Suburban,2012,670,411940.69
1995,3,4,Urban,1953,207,352932.76
2056,2,4,Rural,1995,38,569292.56
1628,5,2,Rural,1990,624,400317.79
1727,3,4,Suburban,2020,639,252699.17
2128,6,1,Urban,1967,50,423473.27
2409,5,2,Suburban,2007,93,395090.12
1713,3,2,Rural,1986,588,482313.0
1668,6,3,Urban,1952,360,194931.49
1165,4,1,Rural,2018,662,510716.33
2524,5,1,Suburban,1974,694,181259.6
2514,5,3,Suburban,2002,196,384572.99
817,3,2,Rural,2006,176,346211.15
1991,3,3,Rural,1955,751,484819.1
855,6,1,Urban,1958,775,369005.35
1617,5,3,Suburban,2011,189,333866.99
1185,3,1,Rural,2002,176,561765.86
2227,5,4,Urban,1977,1,354517.47
2515,2,4,Urban,2011,417,517589.28
2661,6,4,Rural,1988,564,390431.05
2078,3,1,Urban,1967,490,230846.57
2359,6,2,Suburban,2013,79,381131.7
1765,3,2,Urban,1981,83,245369.36
1173,4,1,Urban,1960,523,185276.78
2874,4,1,Urban,1963,793,187534.49
1890,6,3,Urban,2001,344,189644.49
2872,2,1,Rural,1981,395,402783.1
2187,6,1,Rural,2010,173,212939.46
1215,2,3,Rural,2014,766,138487.84
1547,2,2,Urban,2003,319,144829.6
2848,6,4,Rural,1969,677,430366.5
1191,5,3,Suburban,2019,511,272087.42
2575,4,4,Urban,2009,133,333624.47
2465,4,3,Suburban,1953,419,580718.98
2223,4,4,Rural,1970,730,239541.55
927,5,2,Suburban,1972,729,461723.27
2709,3,2,Rural,1989,563,470949.27
922,2,2,Urban,2001,155,391789.89
2266,4,2,Rural,2007,128,279305.49
1932,3,4,Urban,1953,419,419811.84
2609,3,4,Rural,2014,737,332659.38
1986,2,3,Rural,1982,255,496868.95
1476,6,3,Rural,1973,2,344527.32
1830,5,1,Rural,1952,11,414860.52
2422,4,1,Rural,1972,708,145209.75
1414,3,3,Urban,1993,668,493752.74
1218,4,2,Urban,1974,149,381935.78
2051,5,3,Rural,1985,367,217315.71
1777,6,4,Rural,1968,493,224001.29
1549,6,3,Urban,1959,261,540601.46
1556,2,3,Urban,1996,782,301719.6
2151,4,4,Suburban,1991,522,582416.98
2601,2,1,Suburban,2020,155,539912.97
1199,3,3,Urban,2010,451,271219.41
1313,2,3,Urban,1991,138,502886.37
2893,6,4,Suburban,1958,94,353511.06
2040,3,2,Suburban,1979,724,546245.7
2350,6,2,Urban,1969,485,191759.08
984,6,3,Urban,2020,58,148131.96
2038,5,4,Rural,2001,294,230774.11
2337,2,1,Rural,1952,70,520422.36
1021,5,3,Rural,1984,259,368681.96
2857,2,1,Urban,1961,557,169493.42
1189,4,1,Rural,1954,599,424695.1
1401,2,4,Urban,1996,235,393406.34
1929,3,2,Suburban,1982,95,577366.2
2914,6,3,Rural,2018,496,191679.13
1967,4,4,Rural,2009,658,449317.67
1943,2,3,Suburban,1990,363,296560.5
1954,2,3,Suburban,2013,629,137593.65
2395,5,1,Urban,1983,59,492895.64
2012,2,2,Suburban,1998,186,102958.17
2944,4,2,Rural,2002,587,127302.19
2638,2,3,Urban,1955,152,250955.64
1331,5,2,Suburban,1977,622,209432.32
2061,5,2,Suburban,1971,50,579041.38
1331,3,4,Suburban,1987,497,268642.31
2152,6,4,Urban,1999,674,538534.13
1207,3,1,Urban,2017,418,462205.85
2825,3,4,Rural,1959,431,298111.96
1216,4,1,Urban,1984,75,234969.19
2019,6,4,Urban,2014,94,378018.07
2195,5,4,Suburban,1964,508,440997.0
906,4,4,Urban,1999,474,238680.68
1485,4,2,Urban,2006,573,577281.92
1784,6,4,Suburban,1983,503,378493.88
1941,6,3,Rural,1999,576,158914.23
1887,5,3,Urban,1993,58,324839.57
2913,5,3,Suburban,2016,333,597650.97
1566,2,4,Suburban,1967,429,170301.11
1184,4,3,Rural,1975,745,467695.27
1784,6,1,Rural,2011,526,335263.29
890,2,1,Urban,2007,707,406798.09
1089,5,1,Suburban,2009,208,197423.69
2754,2,1,Urban,1991,301,148394.74
1620,4,3,Suburban,2011,503,523990.92
1506,5,2,Rural,1964,589,554815.51
2702,2,1,Urban,1986,635,582081.97
1656,4,1,Urban,1960,623,448176.79
2103,3,1,Suburban,2003,152,218435.29
2535,4,1,Urban,1989,594,329553.7
885,6,3,Rural,2008,291,284580.3
1705,2,3,Suburban,1993,393,539881.97
1371,5,4,Suburban,1997,774,213354.77
1158,6,4,Rural,1985,263,583782.43
2680,6,2,Rural,1999,523,576193.48
2439,4,1,Suburban,1990,791,591058.1
1434,3,3,Urban,1975,340,381369.14
2217,3,4,Urban,2018,502,389376.42
1650,4,4,Rural,2016,112,281089.83
1276,5,4,Rural,1962,750,361624.36
1273,5,3,Rural,1955,355,121951.72
1872,2,2,Rural,1971,113,161700.84
2531,4,2,Urban,1989,181,411870.27
1015,6,2,Urban,1975,620,151649.58
1408,5,2,Rural,1995,332,473342.55
949,2,3,Urban,1992,233,509335.47
1321,5,2,Urban,2000,528,576009.11
1854,5,4,Rural,2007,689,502531.94
1333,3,1,Suburban,2001,32,420254.77
2530,3,2,Suburban,1994,602,363790.07
1551,5,3,Urban,2008,686,596605.29
1032,4,4,Urban,1958,68,180615.88
949,3,2,Suburban,1996,612,194805.44
2159,2,4,Suburban,1950,573,233380.34
1013,5,1,Rural,1978,472,364021.67
2516,2,3,Suburban,1975,489,123965.27
1690,3,1,Suburban,1975,627,272588.48
1139,2,2,Rural,1975,203,484760.59
2756,5,1,Urban,2004,448,514937.29
2754,5,3,Urban,1984,144,503164.73
1087,2,3,Suburban,1980,691,279508.65
1192,3,1,Urban,1998,527,329380.2
2304,2,3,Rural,1952,65,147329.92
2140,4,3,Urban,2003,144,306402.82
2512,6,4,Suburban,1964,194,500658.81
2770,2,2,Urban,2014,36,397156.17
2090,2,4,Rural,2017,738,598214.96
993,5,3,Rural,1957,86,555759.49
1849,2,2,Urban,1980,650,157721.79
1243,2,2,Urban,1994,188,443573.02
2767,4,3,Suburban,1992,182,310686.32
2977,3,3,Rural,2006,42,497440.57
1501,6,4,Urban,1996,767,588303.66
1164,2,1,Suburban,1967,37,245214.27
2963,3,3,Rural,1998,224,417048.32
1991,4,1,Suburban,2005,328,183124.13
2426,4,2,Rural,1964,413,245515.87
1245,4,4,Rural,2007,84,227643.73
2871,2,2,Urban,1951,696,505639.82
974,2,4,Suburban,1987,790,563179.93
2547,6,4,Rural,1988,485,549181.56
2963,6,1,Rural,2009,429,411364.91
2606,4,1,Rural,2007,11,590514.51
1689,6,1,Rural,1961,35,548494.04
1850,3,3,Suburban,1982,753,375348.69
1681,6,3,Urban,1959,420,206720.88
997,6,1,Rural,2007,180,226372.32
1952,5,3,Suburban,2019,202,401987.26
814,4,1,Urban,1994,32,286513.14
1555,4,4,Urban,1993,23,383929.0
2184,5,3,Rural,1997,48,140198.52
2638,4,3,Urban,2020,772,182320.12
1545,4,2,Rural,1964,680,579988.75
1755,4,4,Rural,2015,12,296056.14
1772,4,4,Urban,1987,324,413135.26
1470,6,1,Rural,1973,379,175699.01
2578,3,4,Suburban,1976,621,467253.02
2011,6,3,Urban,1994,263,467396.64
2174,5,2,Rural,2016,292,301934.64
1901,3,3,Rural,2019,183,380363.47
1208,4,3,Suburban,1958,215,132983.19
2168,6,2,Rural,1963,474,437533.55
2045,4,3,Rural,1991,33,299504.44
2620,6,1,Rural,1987,430,331009.82
2764,5,3,Urban,1964,601,384985.32
1298,4,1,Suburban,1957,489,359055.19
1877,4,4,Rural,1998,667,412595.47
1088,2,2,Rural,2014,388,332678.08
1479,3,4,Suburban,1974,239,562326.05
2896,5,3,Urban,1960,773,288152.25
2078,6,4,Rural,2010,98,179255.84
2275,3,2,Rural,1969,244,149774.73
1999,6,3,Suburban,2008,73,246739.73
2377,4,1,Rural,1961,258,325415.45
2962,5,3,Rural,1964,268,471412.33
2501,6,1,Rural,1973,53,292575.93
1145,3,3,Rural,1959,591,257544.46
1882,3,3,Urban,2017,317,508123.84
2446,4,2,Rural,1998,97,121111.91
2570,6,2,Rural,1960,16,295989.82
886,4,2,Rural,1977,226,431975.87
1858,5,2,Urban,1988,301,163930.36
1193,2,2,Rural,1978,684,142384.02
1255,3,4,Urban,1966,356,230048.41
2513,5,1,Urban,2014,595,550698.66
2876,4,2,Urban,1977,461,596132.64
2299,6,1,Rural,1983,733,492593.79
2826,5,3,Urban,2003,328,225494.27
1488,4,3,Suburban,2009,566,350350.65
2755,5,4,Urban,1957,528,111370.72
1165,3,4,Suburban,1953,435,290770.46
2761,4,3,Urban,1955,135,439164.41
2061,4,2,Urban,2017,111,138848.07
2786,3,2,Urban,1984,625,551212.81
1883,2,2,Rural,1991,1,101455.58
2997,3,1,Suburban,1984,490,125655.41
1277,2,4,Rural,1953,106,349454.2
1202,2,1,Suburban,2009,493,215261.86
819,3,4,Rural,1971,342,293944.24
1217,5,3,Urban,2016,104,423287.14
1675,6,2,Urban,2005,462,209119.53
952,3,3,Urban,2008,377,309768.58
2769,3,1,Urban,2009,505,567050.61
842,3,1,Suburban,1981,792,220993.73
964,6,4,Rural,1999,684,519228.24
1423,4,1,Rural,2015,567,262747.88
2404,3,2,Rural,1976,649,522390.21
2500,5,2,Rural,2017,467,160085.06
1627,4,1,Suburban,1977,597,282288.52
2503,4,2,Urban,1994,679,387808.16
813,3,2,Urban,1997,645,500081.07
1963,5,2,Urban,1959,211,440236.27
2197,4,3,Urban,1978,737,474543.72
2503,2,4,Rural,2020,70,585147.07
2834,5,1,Suburban,1960,593,261654.06
2716,4,4,Suburban,1980,635,220753.14
1899,4,4,Suburban,1991,518,142822.78
2240,3,2,Rural,1978,631,136479.34
1171,2,1,Suburban,1957,324,356823.61
2915,5,1,Urban,2009,514,154390.32
2431,3,4,Suburban,1998,331,207697.09
2762,5,2,Urban,1963,3,488596.03
1971,3,3,Rural,2003,779,587389.27
995,2,1,Rural,1991,427,534649.38
1188,4,3,Urban,1975,185,593602.5
2798,4,3,Urban,1995,147,347912.06
1615,2,3,Urban,2010,230,187450.87
2980,4,3,Urban,1953,303,312716.34
1429,2,2,Rural,2015,425,265765.98
838,6,3,Urban,2014,693,344039.21
1079,2,3,Suburban,1993,242,455035.64
1086,3,4,Urban,2004,795,290804.54
2079,4,1,Rural,2012,510,337047.8
2896,4,1,Suburban,1959,390,141424.91
1123,2,4,Urban,1968,12,321724.55
2961,4,2,Suburban,1961,152,175161.32
2306,3,2,Urban,1971,668,221581.71
2098,5,3,Suburban,1983,235,105125.98
1945,5,4,Urban,2012,60,257349.1
1174,5,2,Rural,1993,781,435628.26
1420,4,4,Rural,1984,326,568731.68
1544,6,3,Rural,1950,111,232885.41
2206,3,4,Suburban,1980,431,200780.72
2103,4,3,Rural,1981,205,261534.6
2662,6,4,Urban,1950,575,548911.01
998,5,3,Suburban,2014,480,189021.34
1201,4,1,Suburban,1963,175,503399.32
2022,2,3,Suburban,1955,60,285048.69
2867,5,2,Suburban,2007,720,139491.83
1177,2,3,Urban,1955,726,314988.08
1285,2,1,Suburban,2016,484,400438.59
2020,3,4,Urban,2009,400,362163.99
2650,5,1,Rural,1950,381,206730.09
2147,6,1,Urban,1964,149,379864.0
2365,4,3,Suburban,1984,495,597251.94
2292,4,3,Urban,1953,269,229705.22
914,3,1,Rural,2012,697,219546.98
2694,2,4,Urban,1971,512,293503.16
2299,6,2,Urban,1984,10,554128.15
1815,4,4,Urban,2004,775,139304.94
2703,2,3,Suburban,1954,588,399483.8
1966,4,4,Urban,2017,53,469676.51
1592,4,1,Suburban,2009,724,500682.93
2668,4,4,Rural,2006,663,558505.43
1219,4,3,Urban,2007,452,488480.42
1825,4,1,Urban,1973,547,213505.79
2190,2,2,Suburban,2014,201,315673.0
1082,4,2,Suburban,2002,397,394539.78
1177,6,3,Suburban,1993,351,126897.02
2832,6,4,Suburban,1983,791,289616.65
1212,3,2,Urban,2000,788,441951.23
1386,2,2,Rural,1980,381,491499.04
1919,3,1,Urban,1963,749,442334.79
1458,5,1,Urban,2017,216,420437.48
1664,6,1,Rural,1986,527,398846.61
2153,2,4,Suburban,1951,20,314876.61
842,6,1,Rural,1967,45,160951.47
2387,6,3,Rural,1954,518,283279.17
848,6,1,Rural,1997,423,369094.68
1665,5,1,Rural,1987,341,144110.24
2530,5,2,Rural,1992,450,578001.15
1899,5,4,Suburban,1974,19,165722.22
2704,2,1,Suburban,1951,194,200691.49
1089,6,4,Rural,1989,751,541835.14
2678,3,1,Suburban,1960,60,322750.89
1764,4,4,Suburban,1987,321,531214.69
1692,2,2,Urban,1959,255,269908.79
1617,3,4,Urban,2004,794,212990.62
2432,5,4,Rural,1999,745,193132.84
2048,6,3,Suburban,1978,229,508201.54
2293,5,4,Suburban,2012,564,480102.82
2418,6,4,Rural,2000,385,386507.63
1683,6,4,Suburban,1993,219,112642.32
924,2,4,Rural,1975,258,112527.14
1828,4,1,Suburban,1957,595,439714.82
1321,4,4,Urban,1974,8,126986.57
891,2,3,Rural,2007,295,112512.89
2545,2,3,Suburban,1992,212,547876.01
1542,3,2,Rural,1977,627,354759.86
1173,2,1,Rural,1976,452,599549.43
958,3,4,Rural,2006,313,458095.19
1806,2,2,Rural,2007,437,599080.66
2095,3,4,Suburban,1951,498,223104.97
1071,4,3,Rural,1970,94,445381.25
1847,5,3,Suburban,2020,150,326509.48
2266,6,4,Suburban,1988,27,359380.73
1430,4,2,Suburban,2013,9,270294.0
2942,6,2,Suburban,2012,121,523478.54
2339,3,3,Rural,1970,20,455071.11
1358,6,4,Suburban,1997,572,293679.18
1232,3,1,Rural,1996,3,252740.58
2596,4,4,Rural,1968,324,474928.91
1121,5,2,Urban,1981,197,494794.92
1847,6,2,Rural,1968,97,257268.26
983,5,4,Urban,1966,636,359639.41
878,2,3,Suburban,1996,758,562630.41
2784,2,3,Rural,2001,221,383423.79
1862,3,2,Urban,1985,452,227548.05
819,6,2,Rural,2006,326,528358.37
1795,6,2,Rural,1985,80,272171.83
2667,3,2,Rural,1950,77,244291.29
1545,4,3,Urban,2020,771,596715.68
2011,6,1,Suburban,1950,189,318465.41
2231,2,1,Suburban,2013,103,526528.06
2803,3,3,Urban,1976,682,411180.11
1105,6,3,Urban,2015,723,252032.44
2033,2,4,Rural,1992,572,146144.98
1269,3,1,Rural,2016,316,169032.17
1068,2,4,Urban,2003,687,150796.77
2189,3,3,Suburban,1954,248,288148.13
1641,3,4,Urban,2000,196,283611.67
1696,2,4,Urban,2016,362,455063.77
2501,6,2,Rural,1969,60,413435.47
1942,5,2,Rural,1982,108,457242.12
2368,3,1,Rural,1950,341,105381.23
2689,4,3,Suburban,1991,435,531132.45
2564,3,2,Urban,2008,125,159518.2
1457,3,2,Rural,1971,398,127584.67
2563,5,3,Rural,2013,592,106240.47
2190,4,1,Rural,2016,306,570297.06
2651,5,4,Rural,2005,36,532350.72
2043,4,3,Suburban,1994,474,466345.04
1234,5,1,Urban,1987,49,505726.6
1216,5,2,Urban,2007,764,220207.67
1089,5,1,Urban,1971,596,298767.82
1328,4,2,Suburban,2019,68,259057.66
1650,6,3,Rural,2010,730,123147.96
900,5,3,Urban,2001,485,594694.4
943,6,1,Rural,2016,287,207984.27
2549,2,2,Suburban,1953,323,518621.32
2577,3,4,Suburban,1986,588,223281.03
1126,4,4,Suburban,2020,359,574644.5
1174,4,3,Rural,1972,53,514170.84
1844,4,1,Urban,2016,795,300638.58
1373,4,1,Urban,1959,612,363136.29
2503,3,4,Urban,2005,76,299204.24
2304,2,1,Rural,2002,678,543581.88
1439,6,2,Suburban,1956,115,305004.73
2297,2,3,Suburban,1960,146,343841.32
1329,2,1,Urban,2019,484,306848.81
1397,5,3,Suburban,1969,607,360105.69
1863,5,1,Rural,1986,20,451630.69
975,4,4,Suburban,2000,692,268501.09
1974,5,1,Rural,2018,440,422693.96
1100,6,2,Rural,1955,64,420968.42
1863,3,2,Urban,1965,564,491386.87
872,6,2,Rural,1958,367,226672.04
1096,2,3,Suburban,2012,607,375562.28
1484,5,1,Rural,1972,485,126586.73
937,6,2,Urban,2006,153,282682.29
1839,2,2,Urban,2002,765,221990.37
2472,2,2,Rural,1975,685,465341.77
2208,3,2,Urban,1973,678,502986.98
1528,2,3,Suburban,2006,23,259685.25
1141,5,3,Suburban,1983,210,418899.37
2226,5,4,Suburban,1953,503,556324.85
1768,2,1,Urban,2009,5,454136.83
1159,5,1,Suburban,1951,166,188247.05
1629,3,4,Urban,1958,479,295021.94
2748,6,3,Suburban,2004,88,582121.64
2985,4,1,Urban,1983,611,455729.51
2493,4,3,Suburban,1972,736,582074.23
2951,4,1,Rural,1965,793,461212.01
2758,4,3,Urban,1952,485,254348.15
1783,4,4,Rural,2011,203,298736.96
1923,3,3,Rural,1978,226,443110.7
1528,6,3,Rural,1958,408,176760.64
1538,5,2,Suburban,1964,240,329077.31
1221,3,4,Rural,1963,499,423246.29
1158,5,4,Urban,1961,430,560578.88
1628,6,1,Rural,2008,311,151131.13
1850,6,4,Suburban,1962,615,105334.36
2063,4,3,Suburban,1964,577,591741.2
2504,5,1,Suburban,1963,71,187121.39
2926,4,4,Suburban,1995,156,571175.85
1415,3,4,Urban,1983,374,569290.45
1303,5,4,Rural,1998,594,489298.29
1809,6,4,Suburban,1955,515,240123.41
1864,2,3,Urban,2011,320,373882.43
1776,5,3,Urban,1954,195,367767.73
2424,6,3,Suburban,1970,771,325713.95
2742,3,2,Rural,1952,606,464151.66
1996,6,3,Urban,2003,652,414009.72
1245,6,3,Suburban,1998,25,274244.31
2510,4,3,Urban,1972,608,430409.01
839,5,4,Rural,1954,564,547925.66
1596,2,1,Rural,1989,43,359451.81
1919,6,3,Rural,1952,409,529371.0
1782,2,4,Urban,1964,385,275338.42
2935,2,3,Rural,1983,638,164499.85
1417,4,4,Rural,1952,685,583212.81
1168,2,1,Urban,1952,782,529110.81
1173,4,4,Rural,1987,317,170731.19
1989,2,2,Rural,2013,328,456301.79
1625,5,3,Suburban,2009,197,396744.49
2980,3,3,Urban,2016,795,447772.98
1245,3,1,Suburban,1997,211,231085.38
2998,2,3,Rural,1959,659,105876.31
1054,3,2,Urban,1970,410,194770.47
1306,3,4,Urban,2019,115,144550.56
843,6,3,Rural,1971,497,199198.44
2154,2,2,Urban,2019,557,482128.67
2736,6,4,Suburban,1969,417,598424.55
2535,3,2,Urban,2011,84,536956.51
2621,5,1,Rural,1962,721,200315.81
1900,3,4,Rural,1950,365,246562.97
2348,2,4,Rural,2005,225,146527.46
1192,4,1,Suburban,2002,107,286056.99
2113,5,4,Urban,1999,78,459381.89
2234,4,4,Rural,2003,414,322240.56
2497,3,1,Suburban,2003,194,578448.98
2537,3,3,Rural,2013,364,525849.14
1418,2,1,Suburban,1958,645,441575.26
2993,3,2,Rural,1978,688,416365.68
2655,2,3,Suburban,1986,40,203116.18
2472,5,4,Suburban,1950,89,325404.68
1812,6,3,Suburban,1974,197,415384.11
2116,4,4,Urban,2011,48,142908.72
1727,5,1,Suburban,1989,452,425113.64
1601,2,4,Urban,1991,28,127031.71
2363,4,3,Rural,2009,193,158000.29
905,4,1,Urban,2000,623,549533.13
963,2,1,Rural,1984,205,322023.97
1567,3,4,Urban,2018,577,594080.02
1301,6,2,Urban,1993,181,567043.55
2938,4,2,Urban,1987,340,326867.02
876,2,3,Suburban,1972,249,175077.7
1232,6,3,Urban,1994,75,589191.72
1660,5,4,Rural,1963,606,160145.98
1835,2,1,Urban,2013,342,279850.24
1099,4,2,Suburban,1973,313,437907.74
2327,6,4,Suburban,1965,741,593290.52
2429,2,4,Suburban,1959,67,246920.13
915,2,1,Rural,1979,247,518543.01
2665,2,4,Urban,1950,502,531414.36
2565,5,4,Urban,1966,558,315100.69
2558,2,3,Suburban,1950,215,507344.6
1845,5,2,Urban,1988,704,307882.3
1583,3,3,Urban,1974,66,367694.67
2966,2,1,Suburban,1962,441,172264.29
2790,2,2,Rural,1969,387,363772.78
850,6,2,Urban,1963,616,513605.22
2009,2,1,Urban,1998,281,243758.82
1493,2,4,Urban,1989,49,288795.34
1563,4,4,Suburban,1974,600,160509.14
2268,2,1,Rural,1992,260,352239.6
2470,6,3,Rural,1990,637,245423.09
993,6,2,Rural,1950,303,437458.83
1723,4,3,Urban,1978,767,365309.73
2124,3,2,Suburban,1982,728,136991.18
936,2,3,Suburban,1967,719,359622.97
1404,3,4,Suburban,1969,374,164841.48
2113,2,4,Rural,1975,542,476937.58
2058,5,1,Urban,2019,588,546807.16
2544,2,4,Rural,1961,637,267222.73
1655,2,2,Rural,1992,615,333946.23
1941,4,4,Urban,2000,617,411531.64
2110,2,1,Urban,1953,337,250806.35
2450,3,2,Rural,2020,342,399467.89
941,5,2,Rural,1957,472,512648.69
1311,3,3,Suburban,1959,677,479463.44
1528,4,1,Suburban,2020,83,154379.69
2658,6,2,Urban,2020,397,357930.86
1392,6,2,Rural,2012,314,435946.48
1628,6,4,Urban,1966,328,377892.63
2075,3,2,Suburban,1984,511,459365.08
2269,5,4,Rural,2005,756,189914.73
2155,6,4,Rural,1970,794,399633.71
1683,6,1,Rural,1982,782,284093.54
1136,2,2,Suburban,1992,604,225255.1
2943,6,2,Urban,1984,688,177331.57
1980,2,4,Urban,2009,203,308704.62
1770,3,1,Rural,1989,584,366144.68
2839,4,4,Urban,1975,641,507586.19
1909,5,1,Urban,1981,631,358069.36
1865,3,1,Suburban,1954,468,381086.58
2338,2,4,Rural,1978,366,370582.43
1650,6,1,Urban,2018,565,178820.57
1358,2,3,Rural,1978,225,242593.5
1823,5,3,Rural,1988,729,310965.96
834,4,4,Urban,2008,706,359745.29
2208,2,4,Urban,1985,68,156792.73
2878,5,3,Urban,1969,457,568046.99
1613,2,3,Rural,1977,246,338831.46
1864,6,1,Suburban,1969,332,593021.43
2787,4,4,Rural,2010,660,408202.45
1517,2,3,Suburban,1966,341,299879.21
2564,6,1,Suburban,1989,482,197728.66
2558,5,2,Suburban,2017,649,594625.27
2716,6,4,Rural,2013,776,523552.86
2591,2,2,Suburban,1978,621,206319.58
2061,2,3,Rural,1991,580,213372.39
1618,5,2,Rural,1958,461,113317.81
2717,3,2,Suburban,1951,533,245353.32
2706,2,4,Rural,1991,734,338936.97
1012,6,2,Urban,1962,667,179999.68
1211,4,3,Urban,2000,400,474032.83
2405,3,3,Suburban,2001,422,382370.05
1744,6,3,Suburban,1970,763,262855.87
1433,5,3,Suburban,2016,0,379887.51
2125,3,3,Rural,1967,586,144273.48
1017,6,1,Urban,1963,792,595832.91
1055,6,2,Suburban,1965,463,170615.62
1534,4,1,Rural,1959,210,394046.48
1824,2,3,Rural,1973,779,218825.2
2404,2,1,Rural,2000,206,380400.58
1807,5,2,Urban,1950,388,172271.85
1596,3,2,Suburban,1978,177,555875.14
895,4,4,Suburban,1972,151,225458.91
1724,3,2,Rural,2007,573,305357.05
1863,2,4,Urban,1977,779,391337.84
1214,4,3,Urban,1961,796,215669.13
868,3,4,Urban,1964,411,176567.75
